SKU,EBO_Qty,D2C_Qty,Total_Qty,Bagalur,EBO_Transfer,D2C_Transfer,Total_3PL_Transfer,Bhiwandi,Kolkata,Gurgaon
BPB167KHI14Y669,103.0,21.0,124,96,27,1,28,13,11,4
BPB167LTG06Y,0.0,8.0,8,8,0,0,0,0,0,0
BPB167LTG08Y,0.0,7.0,7,7,0,0,0,0,0,0
BPB167LTG10Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB167LTG12Y,0.0,12.0,12,12,0,0,0,0,0,0
BPB167LTG14Y,6.0,14.0,20,20,0,0,0,0,0,0
BPB167NYB06Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB167NYB08Y,0.0,14.0,14,14,0,0,0,0,0,0
BPB167NYB08Y669,16.0,16.0,32,32,0,0,0,0,0,0
BPB167NYB10Y,0.0,9.0,9,9,0,0,0,0,0,0
BPB167NYB10Y669,0.0,12.0,12,12,0,0,0,0,0,0
BPB167NYB12Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB167NYB12Y669,51.0,48.0,99,64,21,14,35,17,14,4
BPB167NYB14Y,0.0,7.0,7,7,0,0,0,0,0,0
BPB167NYB14Y669,106.0,79.0,185,118,40,27,67,32,26,9
BPB167SKO06Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB167SKO08Y,0.0,7.0,7,7,0,0,0,0,0,0
BPB167SKO10Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB167SKO12Y,0.0,3.0,3,3,0,0,0,0,0,0
BPB167SKO14Y,0.0,11.0,11,11,0,0,0,0,0,0
BPB167TRN06Y,0.0,3.0,3,3,0,0,0,0,0,0
BPB167TRN08Y,0.0,13.0,13,13,0,0,0,0,0,0
BPB167TRN10Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB167TRN12Y,0.0,7.0,7,7,0,0,0,0,0,0
BPB167TRN14Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB174BIG08Y,0.0,8.0,8,8,0,0,0,0,0,0
BPB174BIG10Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB174BIG12Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB174BIG14Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB174BLS08Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB174BLS10Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB174BLS12Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB174BLS14Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB174BTG08Y,0.0,18.0,18,18,0,0,0,0,0,0
BPB174BTG10Y,0.0,19.0,19,19,0,0,0,0,0,0
BPB174BTG12Y,0.0,25.0,25,21,0,4,4,2,2,0
BPB174BTG14Y,0.0,29.0,29,25,0,4,4,2,2,0
BPB174CNG08Y,0.0,3.0,3,3,0,0,0,0,0,0
BPB174CNG10Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB174CNG12Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB174CNG14Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB174IRG08Y,0.0,15.0,15,15,0,0,0,0,0,0
BPB174IRG10Y,1.0,14.0,15,15,0,0,0,0,0,0
BPB174IRG12Y,2.0,13.0,15,15,0,0,0,0,0,0
BPB174IRG14Y,0.0,7.0,7,7,0,0,0,0,0,0
BPB174LTG08Y,0.0,3.0,3,3,0,0,0,0,0,0
BPB174LTG10Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB174LTG12Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB174NYB08Y,0.0,5.0,5,5,0,0,0,0,0,0
BPB174NYB10Y,0.0,10.0,10,10,0,0,0,0,0,0
BPB174NYB12Y,0.0,6.0,6,6,0,0,0,0,0,0
BPB174NYB14Y,0.0,7.0,7,7,0,0,0,0,0,0
BPB174SEG08Y,0.0,7.0,7,7,0,0,0,0,0,0
BPB174SEG10Y,0.0,3.0,3,3,0,0,0,0,0,0
BPB174SEG12Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB174SKO08Y,0.0,10.0,10,10,0,0,0,0,0,0
BPB174SKO10Y,5.0,16.0,21,21,0,0,0,0,0,0
BPB174SKO12Y,0.0,3.0,3,3,0,0,0,0,0,0
BPB174SKO14Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB174TRN08Y,0.0,2.0,2,2,0,0,0,0,0,0
